Ground Tracking ID Prefix	Express or Ground Tracking ID
	394051977020
	392225895423
	394124091224
	394074782779
	392685646404
	392528740811
	392797417453
	392938409727
	392988468867
	392797170169
	392910638921
	393188180095
	394125392410
	394128653339
	392225843871
	394076787854
	394190084510
	394163983294
	394129083846
	393142085677
	394077183561
	393193759463
	392118398869
	392118371634
	393939225146
	393071121477
	394165483570
	394170561978
	392568499750
	394076906959
	394203944147
	392910639744
	394062444088
	394124093010
	394078291661
	394076782061
	392685620470
	392685638520
	394072787837
	394055324574
	394168322611
	394120721449
	393360806617
	394166481069
	392870407665
	393188186244
	392908543126
	392685623171
	394160535270
	392378850674
	392226023988
	394164521800
	392225848656
	394076648383
	394169144102
	394064509840
	394122888628
	393936710343
	394125520151
	392529354239
	394137935880
	392226022764
	394072799727
	394049821610
	392909838198
	392381774127
	392226026200
	392118422330
	392259670032
	393188185947
	392381775156
	394202802060
	394049818577
	393789458808
	394123014182
	394077384883
	394124165414
	392226016883
	394055366228
	393790093114
	393242386387
	392191577755
	393677390250
	392712629681
	394076830012
	394122439618
	394238648414
	392226011789
	394076348076
	394162463112
	392226011653
	394048953200
	392378851394
	394178571579
	392986476483
	392799116587
	394129130065
	392225849777
	392685646757
	394162587925
	394044602412
	392685611281
	392712632530
	394062545570
	392938432200
	394128653100
	394076821198
	394076623380
	392120304258
	392685647216
	393141698655
	394072368716
	392118425410
	392225844569
	394203943130
	392910639490
	392910308162
	392797157301
	394076627455
	392528738498
	393721799968
	394077067069
	394124092985
	392226038307
	394120718637
	394076380469
	392685611936
	392799114654
	393790112640
	394124320631
	392228643728
	392797415895
	394203936540
	393142831050
	392226037057
	392870397009
	392910311787
	394072791163
	392528744460
	393616925856
	394154262546
	392343196694
	394076779293
	393188180577
	392685644548
	394169319519
	392225847421
	394076624261
	394073722229
	392712629589
	392228632466
	394163328434
	394076628521
	394077200330
	393103667780
	392226016714
	394169062760
	392685619926
	392910640093
	392118331310
	392226024193
	392685612910
	392870410709
	392226022514
	393142378515
	392712598510
	394177439739
	392226013531
	394124092779
	393360795340
	393142378478
	393142832182
	394016423779
	394064509048
	394051911494
	392343197808
	392910641777
	392228635627
	392343210658
	394130444590
	392120313035
	392685609318
	394124093433
	392988440496
	393790111850
	392528739152
	392685609546
	392225849230
	394129146877
